,Feature,Importance
10,TotalWorkingYears,0.0935021899787821
5,MonthlyIncome,0.09204225221331923
0,Age,0.08080046522841938
12,YearsAtCompany,0.06746405729558297
49,OverTime_Yes,0.05283310042728759
15,YearsWithCurrManager,0.046978271587852935
2,DistanceFromHome,0.044275011279367886
1,DailyRate,0.042642169780888244
9,StockOptionLevel,0.04160476836431925
3,HourlyRate,0.03783442444126935
7,NumCompaniesWorked,0.030861615344294817
6,MonthlyRate,0.02921956370378195
13,YearsInCurrentRole,0.02603724775575464
48,MaritalStatus_Single,0.023031601815087635
29,EnvironmentSatisfaction_Low,0.022141346662967788
